Region,Minimum (%),25%ile (%),Mean (%),Median (%),75%ile (%),Maximum (%),Standard Deviation (%),Sample Size
North,0,2.0816292402180565,9.196831746071155,5.713213576323024,11.857545630100772,60.354131185644796,10.467743779585268,303
North East,0,0,2.274004393586461,0.2201502467672437,3.116908787798457,14.603292571437605,3.6778692474202868,33
North West,0,0.1586809843731332,5.92838022517107,1.7596830921153939,6.333761161251171,68.61115025502167,10.268032267057228,190
South,0,5.999705446451222,16.17044650021903,11.121020559610967,20.42549602488931,91.798981314886,15.508587140817593,581
South East,0,7.650001359252172,16.67584224327941,13.021522940366298,22.679975313325784,86.14104398043807,13.234388921593732,603
South West,0,1.8430841461313265,11.568307330892566,7.116884145033714,16.09099964283039,87.65848521121946,14.288385344805329,370
